,Clusters
"001023 - River Street , Clerkenwell",1
"001018 - Phillimore Gardens, Kensington",1
"001024 - Park Street, Bankside",1
"001022 - Brunswick Square, Bloomsbury",3
"000980 - Malet Street, Bloomsbury",3
"001010 - Cartwright Gardens , Bloomsbury",1
"001007 - Drury Lane, Covent Garden",3
"001009 - Taviton Street, Bloomsbury",3
"000993 - Drummond Street , Euston",1
"001019 - Ampton Street , Clerkenwell",2
"001025 - Bolsover Street, Fitzrovia",3
"001029 - Windsor Terrace, Hoxton",2
"003446 - De Vere Gardens, Kensington",3
"003445 - Shoreditch High Street, Shoreditch",3
"001084 - Pindar Street, Liverpool Street",3
"001036 - Crawford Street, Marylebone",3
"001054 - East Road, Hoxton",1
"001026 - Roscoe Street, St. Luke's",2
"003431 - Grafton Street, Mayfair",3
"001033 - Paddington Street, Marylebone",3
"001030 - Lisson Grove, St. John's Wood",2
"000982 - Holborn Circus, Holborn",3
"000975 - Theobald's Road , Holborn",3
"000978 - Russell Square Station, Bloomsbury",3
"001038 - Harrington Square 1, Camden Town",1
"002586 - Cloudesley Road, Angel",1
"001065 - Aldersgate Street, Barbican",3
"001047 - Falkirk Street, Hoxton",1
"001045 - Jewry Street, Aldgate",3
"000991 - Crosswall, Tower",3
"001042 - Woodstock Street, Mayfair",3
"001049 - Finsbury Leisure Centre, St. Luke's",2
"001055 - Wellington Road, St. John's Wood",2
"001050 - Park Road (Baker Street), The Regent's Park",3
"000995 - Little Argyll Street, West End",3
"001116 - Emperor's Gate, South Kensington",2
"001039 - Wapping High Street, Wapping",1
"001053 - Clerkenwell Green, Clerkenwell",3
"003464 - Green Street, Mayfair",3
"001056 - Finsbury Square , Moorgate",3
"001093 - Kennington Cross, Kennington",2
"001115 - Ilchester Place, Kensington",1
"001046 - Vauxhall Bridge , Pimlico",1
"001118 - Hampton Street, Walworth",2
"001121 - Lexham Gardens, Kensington",2
"001113 - Trebovir Road, Earl's Court",2
"003478 - Guildhouse Street, Victoria",1
"001123 - Southampton Place, Holborn",3
"003461 - Sloane Avenue, Knightsbridge",3
"002585 - Orsett Terrace, Bayswater",2
"003463 - Argyll Road, Kensington",3
"003477 - Porchester Place, Paddington",1
"003459 - Collingham Gardens, Earl's Court",3
"001124 - Sumner Place, South Kensington",3
"003460 - Warwick Square, Pimlico",2
"003473 - Belgrave Square, Belgravia",3
"001167 - South Wharf Road, Paddington",2
"000960 - Hop Exchange, The Borough",3
"001080 - Great Tower Street, Monument",3
"001102 - Leman Street, Aldgate",2
"001040 - West Smithfield Rotunda, Farringdon",3
"003468 - Margery Street, Clerkenwell",2
"003476 - Hinde Street, Marylebone",1
"001079 - Endsleigh Gardens, Euston",2
"001092 - Moorfields, Moorgate",3
"003479 - Old Brompton Road, South Kensington",2
"003486 - St. Luke's Church, Chelsea",3
"003481 - Rodney Road , Walworth",1
"001150 - Queensway, Kensington Gardens",1
"001154 - Kennington Road, Vauxhall",1
"003483 - Fashion Street, Whitechapel",3
"003467 - Dock Street, Wapping",1
"001090 - Warren Street Station, Euston",3
"003482 - Beaumont Street, Marylebone",3
"001140 - Grosvenor Road, Pimlico",1
"001159 - Berry Street, Clerkenwell",3
"001161 - Brushfield Street, Liverpool Street",3
"001051 - Shoreditch Park, Hoxton",2
"003471 - Chadwell Street, Angel",1
"003491 - Princes Square, Bayswater",2
"001146 - Tysoe Street, Clerkenwell",1
"003490 - Southwick Street, Paddington",1
"001155 - Regency Street, Westminster",2
"001209 - Empire Square, The Borough",2
"001190 - Kennington Lane Rail Bridge, Vauxhall",2
"001136 - London Zoo,  The Regent's Park",1
"001134 - Warwick Road, Olympia",2
"001156 - Bedford Way, Bloomsbury",1
"001138 - Elizabeth Bridge, Victoria",3
"003496 - St Mary's Hospital, Paddington",1
"001135 - Claverton Street, Pimlico",2
"001214 - Kensington Olympia Station, Olympia",1
"001216 - Swan Street, The Borough",2
"003498 - Geraldine Street, Elephant & Castle",2
"001152 - Marylebone Lane, Marylebone",3
"003492 - Putney Pier, Wandsworth",1
"001157 - Black Lion Gate, Kensington Gardens",1
"003494 - Foley Street, Fitzrovia",3
"001130 - Grove End Road, St. John's Wood",2
"003495 - Wells Street, Fitzrovia",3
"003485 - Tyers Gate, Bermondsey",1
"000968 - Warwick Row, Westminster",3
"003500 - Baldwin Street, St. Luke's",1
"002637 - Bermondsey Street, Bermondsey",2
"003502 - Palissy Street, Shoreditch",2
"001131 - Graham Street, Angel",2
"002641 - New North Road 2, Hoxton",1
"002636 - Prince Albert Road, The Regent's Park",2
"001211 - Bunhill Row, Moorgate",3
"001210 - Nevern Place, Earl's Court",2
"002633 - Palace Gardens Terrace, Notting Hill",1
"001127 - Risinghill Street, Angel",2
"001218 - Flood Street, Chelsea",3
"001226 - Macclesfield Rd, St Lukes",2
"001224 - Vauxhall Street, Vauxhall",2
"001229 - High Holborn , Covent Garden",3
"002680 - Harrowby Street, Marylebone",2
"002681 - Harriet Street, Knightsbridge",1
"002670 - Paddington Green, Paddington",1
"002639 - King Edward Walk, Waterloo",2
"002649 - Sardinia Street, Holborn",3
"002683 - Millbank Tower, Pimlico",3
"002678 - Farm Street, Mayfair",3
"001223 - Buxton Street 1, Shoreditch",1
"001227 - Devonshire Terrace, Bayswater",2
"010624 - Strata, Elephant & Castle",2
"022179 - Exhibition Road, Knightsbridge",3
"200056 - Vauxhall Walk, Vauxhall",3
"200053 - Killick Street, King's Cross",2
"200032 - Kennington Oval, Oval",1
"200039 - Sail Street, Vauxhall",1
"200035 - Walmer Road, Avondale",1
"200033 - Philpot Street, Whitechapel",2
"200047 - Bethnal Green Garden, Bethnal Green",1
"200042 - York Hall, Bethnal Green",1
"200054 - Jubilee Crescent, Cubitt Town",2
"200020 - Shadwell Station, Shadwell",2
"200021 - Hermitage Court, Wapping",1
"200046 - Napier Avenue, Millwall",2
"200016 - Castlehaven Road, Camden Town",2
"200014 - Gunmakers Lane, Old Ford",2
"200013 - Aston Street, Stepney",2
"200152 - Pitfield Street North,Hoxton",1
"200158 - Whiston Road, Haggerston",2
"200168 - Southern Grove, Bow",2
"200150 - Cantrell Road, Bow",1
"200174 - Mostyn Grove, Bow",1
"200155 - Gascoyne Road, Victoria Park",2
"200009 - Stebondale Street, Cubitt Town",2
"200018 - Spindrift Avenue, Millwall",2
"200012 - Stepney Green Station, Stepney",2
"200156 - Pott Street, Bethnal Green",2
"200022 - Saunders Ness Road, Cubitt Town",1
"200249 - Queen Mary's, Mile End",3
"200230 - Maplin Street, Mile End",3
"200233 - South Quay East, Canary Wharf",3
"200252 - Bow Church Station, Bow",1
"200255 - Devons Road, Bow",1
"200242 - Merchant Street, Bow",2
"200251 - Bow Road Station, Bow",1
"200011 - Furze Green, Bow",2
"200148 - Ansell House, Stepney",1
"200241 - Bonner Gate, Victoria Park",2
"200250 - Cleveland Way, Stepney",1
"200243 - St. John's Park, Cubitt Town",1
"200038 - Ackroyd Drive, Bow",2
"200036 - Bell Lane, Liverpool Street",3
"200157 - Fournier Street, Whitechapel",3
"200253 - Fore Street Avenue, Guildhall",3
"200238 - Westferry DLR, Limehouse",2
"200256 - Sutton Street, Shadwell",1
"200027 - Ford Road, Old Ford",1
"200041 - Antill Road, Mile End",1
"200254 - Teviot Street, Poplar",1
"200234 - Bancroft Road, Bethnal Green",2
"200161 - Clinton Road, Mile End",2
"200160 - Langdon Park, Poplar",2
"200017 - Lancaster Gate , Bayswater",2
"200153 - Blythe Road, Olympia",1
"200143 - Lancaster Drive, Blackwall",2
"200154 - Hansard Mews, Holland Park",1
"200010 - Manresa Road, Chelsea",3
"200146 - Newby Place, Poplar",1
"200167 - Twig Folly Bridge, Mile End",2
"200165 - Wellington Row, Bethnal Green",1
"200159 - Goldsmith's Row, Haggerston",1
"200145 - Gloucester Avenue, Camden Town",2
"200024 - Queensbridge Road, Haggerston",1
"200239 - Old Montague Street, Whitechapel",2
"200050 - Naval Row, Blackwall",3
"200147 - Salmon Lane, Limehouse",1
"200051 - Percival Street, Finsbury",2
"200149 - Watney Street, Shadwell",1
"200064 - Regent's Row , Haggerston",2
"200048 - Page Street, Westminster",3
"200037 - Rectory Square, Stepney",1
"200141 - Westfield Ariel Way, White City",3
"200248 - Pitfield Street Central, Hoxton",1
"200061 - Westfield Southern Terrace ,Shepherd's Bush",1
"200026 - Greenland Road, Camden Town",1
"200246 - Eagle Wharf Road, Hoxton",2
"200247 - Globe Town Market, Bethnal Green",1
"200244 - Hollybush Gardens, Bethnal Green",1
"200060 - Drayton Gardens, West Chelsea",2
"200236 - Greenberry Street, St.John's Wood",1
"200058 - Northdown Street, King's Cross",1
"200142 - Hammersmith Road, Hammersmith",3
"200237 - Parson's Green , Parson's Green",1
"200229 - Fulham Park Road, Fulham",2
"200235 - Manbre Road, Hammersmith",1
"200136 - BBC White City, White City",3
"200211 - Union Grove, Wandsworth Road",2
"200137 - Caldwell Street, Stockwell",1
"200198 - Seymour Place, Marylebone",2
"200218 - Addison Road, Holland Park",1
"200224 - Colet Gardens, Hammersmith",1
"200208 - Sugden Road, Clapham",2
"200222 - Danvers Street, West Chelsea",3
"200067 - Princedale Road , Holland Park",1
"200175 - Wandsworth Rd, Isley Court, Wandsworth Road",1
"200214 - Woodstock Grove, Shepherd's Bush",1
"200028 - Elysium Place, Fulham",1
"300003 - Eel Brook Common, Walham Green",1
"300012 - Irene Road, Parsons Green",2
"300010 - Surrey Lane, Battersea",2
"200091 - Wandsworth Town Station, Wandsworth",3
"200172 - Lansdowne Road, Ladbroke Grove",1
"200186 - Nantes Close, Wandsworth",2
"200173 - Courland Grove, Wandsworth Road",2
"200190 - Queen's Circus, Battersea Park",2
"300008 - Normand Park, West Kensington",2
"200187 - Morie Street, Wandsworth",2
"200194 - Clarence Walk, Stockwell",2
"200183 - Battersea Park Road, Nine Elms",3
"200176 - Sheepcote Lane, Battersea",2
"200116 - Vereker Road, West Kensington",1
"200215 - Greyhound Road, Hammersmith",2
"200180 - South Park, Sands End",2
"200191 - Spencer Park, Wandsworth Common",1
"200179 - Silverthorne Road, Battersea",2
"300025 - Archbishop's Park, Waterloo",3
"200192 - Fawcett Close, Battersea",2
"200182 - Rainville Road, Hammersmith",1
"200181 - Richmond Way, Shepherd's Bush",2
"200171 - Peterborough Road, Sands End",1
"300009 - World's End Place, West Chelsea",2
"300030 - Thorndike Close, West Chelsea",1
"300022 - Evesham Street, Avondale",3
"200196 - Simpson Street, Clapham Junction",2
"200221 - Crabtree Lane, Fulham",1
"200220 - Blythe Road West, Shepherd's Bush",2
"300005 - Ethelburga Estate, Battersea Park",2
"200124 - Clarendon Road, Avondale",2
"300013 - Austin Road, Battersea Park",2
"200113 - Smugglers Way, Wandsworth",1
"300037 - Ravenscourt Park Station, Hammersmith",1
"300036 - Teversham Lane, Stockwell",2
"200169 - Ashley Crescent, Battersea",2
"300052 - Parsons Green Station, Parsons Green",3
"300051 - Hibbert Street, Battersea",2
"300035 - Carnegie Street, King's Cross",1
"200126 - Usk Road, Clapham Junction",2
"200207 - Hartington Road, Stockwell",1
"200023 - Heath Road, Battersea",1
"200170 - Esmond Street, Putney",2
"200114 - Orbel Street, Battersea",2
"200210 - Westbridge Road, Battersea",1
"200043 - Bishop's Avenue, Fulham",1
"200188 - Neville Gill Close, Wandsworth",1
"200219 - Osiers Road, Wandsworth",2
"200204 - Northfields, Wandsworth",2
"200199 - Stanley Grove, Battersea",2
"200184 - Erin Close, Walham Green",3
"200112 - Cadogan Close, Victoria Park",2
"300019 - Felsham Road, Putney",2
"300033 - Putney Rail Station, Putney",3
"300031 - Islington Green, Angel",2
"300018 - Charing Cross Hospital, Hammersmith",2
"200121 - Shoreditch Court, Haggerston",1
"200201 - Battersea Church Road, Battersea",2
"200213 - Durant Street, Bethnal Green",1
"200063 - Mexfield Road, East Putney",1
"200193 - Snowsfields, London Bridge",3
"200197 - Barons Court Station, West Kensington",3
"300045 - Albert Bridge Road, Battersea Park",1
"300028 - Everington Street, Fulham",2
"300056 - Mile End Stadium, Mile End",2
"300055 - Stewart's Road, Wandsworth Road",1
"300049 - Aylward Street, Stepney",2
"300024 - Dunston Road , Haggerston",1
"300040 - Ada Street, Hackney Central",1
"300011 - Victoria Park Road, Hackney Central",1
"300038 - Star Road, West Kensington",2
"300039 - Wendon Street, Old Ford",1
"300041 - Finnis Street, Bethnal Green",1
"300053 - Stephendale Road, Sands End",2
"300046 - Alma Road, Wandsworth",1
"300050 - Walworth Square, Walworth",2
"300047 - Alfreda Street, Battersea Park",2
"300044 - Putney Bridge Road, East Putney",3
"300043 - St. Peter's Terrace, Fulham",2
"300082 - Bridge Avenue, Hammersmith",2
"300083 - Duke Street Hill, London Bridge",3
"200120 - Grant Road East, Clapham Junction",2
"300088 - Queensdale Road, Shepherd's Bush",2
"300086 - Fulham Broadway, Walham Green",3
"300087 - Imperial Road, Sands End",1
"300084 - Sirdar Road, Avondale",1
"300085 - Freston Road, Avondale",2
"300078 - Oxford Road, Putney",1
"300077 - Ingrave Street, Clapham Junction",1
"300075 - Upcerne Road, West Chelsea",1
"300076 - Lots Road, West Chelsea",2
"300089 - Ormonde Gate, Chelsea",2
"300092 - Hertford Road, De Beauvoir Town",2
"300081 - Haggerston Road, Haggerston",1
"300080 - Culvert Road, Battersea",2
"300074 - Newton Street, Covent Garden",3
"300079 - London Street, Paddington",2
"300067 - Grenfell Road, Avondale",3
"300058 - The Vale, Chelsea",1
"300073 - Prince of Wales Drive, Battersea Park",1
"300069 - Harcourt Terrace, West Brompton",2
"300072 - Broadley Terrace, Marylebone",1
"300068 - Humbolt Road, Fulham",1
"300027 - Mile End Park Leisure Centre, Mile End",1
"300064 - Ranelagh Gardens, Fulham",1
"200079 - Ram Street, Wandsworth",1
"200177 - Santos Road, Wandsworth",1
"300001 - Sandilands Road, Walham Green",2
"300097 - Gwendwr Road, West Kensington",1
"300007 - Rifle Place, Avondale",2
"300098 - Hurlingham Park, Parsons Green",2
"300101 - Little Brook Green, Brook Green",3
"300100 - Limburg Road, Clapham Junction",1
"300070 - Imperial Wharf Station, Sands End",1
"300032 - Victoria & Albert Museum, South Kensington",3
"300210 - Halford Road, West Kensington",2
"300213 - Monier Road, Hackney Wick",2
"300200 - East Village, Queen Elizabeth Olympic Park",2
"300227 - Timber Lodge, Queen Elizabeth Olympic Park",1
"300226 - Copper Box Arena, Queen Elizabeth Olympic Park",3
"300234 - Stratford Station, Stratford",1
"300205 - Cromer Street, Bloomsbury",2
"300204 - Victoria Rise, Clapham Common",2
"300201 - Coram Street, Bloomsbury",3
"300211 - Ossulston Street, Somers Town",1
"300212 - Birkenhead Street, King's Cross",2
"300202 - Kings Gate House, Westminster",3
"300248 - Sopwith Way, Battersea Park",1
"300208 - Lavington Street, Bankside",3
"300209 - Albert Square, Stockwell",1
"300238 - Southwark Street, Bankside",3
"300243 - Good's Way, King's Cross",3
"300241 - Handyside Street, King's Cross",3
"300207 - Gauden Road, Clapham",2
"300240 - Lincoln's Inn Fields, Holborn",3
"300237 - Tate Modern, Bankside",3
"300228 - Westferry Circus, Canary Wharf",3
"300217 - Here East North, Queen Elizabeth Olympic Park",1
"300224 - New Spring Gardens Walk, Vauxhall",3
"300245 - Clapham Road, Lingham Street, Stockwell",2
"300219 - Here East South, Queen Elizabeth Olympic Park",2
"300232 - Riverlight South, Nine Elms",2
"300239 - Victory Place, Walworth",2
"300221 - Battersea Power Station, Battersea Park",3
"300225 - Normandy Road, Stockwell",2
"300230 - Wynne Road, Stockwell",1
"300229 - Sidney Road, Stockwell",2
"300215 - St John's Crescent, Brixton",2
"200240 - Ferndale Road, Brixton",2
"300206 - Saltoun Road, Brixton",2
"300216 - Gas Holders, Battersea Park",2
"300220 - Farringdon Street, Holborn",3
"300235 - York Way, Kings Cross",2
"300222 - Fore Street, Guildhall",3
"002667 - Tower Wharf, Bermondsey",2
"300252 - Canada Water Station, Rotherhithe",2
"300029 - Lee Valley VeloPark, Queen Elizabeth Olympic Park",1
"300060 - Brandon Street, Walworth",2
"300063 - Burgess Park Albany Road, Walworth",1
"200049 - St. Katharine's Way, Tower",2
"001221 - St. George Street, Mayfair",3
"001114 - Pont Street, Knightsbridge",3
"001230 - Millennium Hotel, Mayfair",3
"001013 - St. Chad's Street, King's Cross",2
"003420 - Sedding Street, Sloane Square",3
"003424 - Broadcasting House, Marylebone",3
"003422 - Charlbert Street, St. John's Wood",1
"003423 - Maida Vale, Maida Vale",1
"000970 - Scala Street, Fitzrovia",3
"000988 - Great Russell Street, Bloomsbury",3
"003426 - Lansdowne Drive, Hackney Central",2
"003425 - Northington Street , Holborn",3
"003421 - Red Lion Square, Holborn",3
"001004 - Doric Way , Somers Town",2
